edad,C5,C25,C50,C75,C95
18,624.04,780.87,862.55,924.68,991.00
19,625.33,789.63,875.43,940.82,1010.80
20,625.39,797.06,886.94,955.57,1029.21
21,623.93,802.75,896.61,968.40,1045.67
22,620.69,806.33,903.98,978.82,1059.62
23,615.58,807.58,908.79,986.51,1070.69
24,608.70,806.59,911.09,991.51,1078.90
25,600.49,803.84,911.40,994.35,1084.81
26,591.36,799.83,910.24,995.58,1089.00
27,581.69,794.98,908.08,995.70,1091.99
28,571.75,789.64,905.26,995.06,1094.18
29,561.72,783.96,901.95,993.84,1095.71
30,551.74,778.08,898.26,992.13,1096.72
31,541.88,772.04,894.21,989.95,1097.17
32,532.25,765.85,889.78,987.24,1097.01
33,522.94,759.56,884.97,984.00,1096.22
34,514.10,753.21,879.80,980.21,1094.76
35,505.88,746.86,874.29,975.89,1092.63
36,498.49,740.61,868.51,971.09,1089.86
37,492.16,734.56,862.54,965.87,1086.53
38,487.14,728.83,856.47,960.33,1082.71
39,483.67,723.50,850.38,954.53,1078.47
40,481.95,718.63,844.33,948.53,1073.85
41,482.15,714.25,838.35,942.38,1068.91
42,484.30,710.37,832.49,936.13,1063.71
43,488.34,706.98,826.78,929.82,1058.29
44,494.00,704.01,821.23,923.50,1052.71
45,500.85,701.39,815.82,917.18,1047.01
46,508.34,699.00,810.53,910.85,1041.20
47,515.91,696.70,805.29,904.51,1035.27
48,523.07,694.39,800.06,898.12,1029.22
49,529.47,691.96,794.79,891.66,1023.05
50,534.94,689.36,789.44,885.11,1016.74
51,539.44,686.54,783.99,878.46,1010.29
52,543.03,683.49,778.42,871.69,1003.69
53,545.79,680.21,772.73,864.80,996.94
54,547.81,676.71,766.92,857.79,990.05
55,549.16,673.01,761.00,850.68,983.05
56,549.91,669.12,754.98,843.49,975.97
57,550.12,665.06,748.87,836.22,968.82
58,549.85,660.84,742.69,828.89,961.63
59,549.12,656.48,736.46,821.52,954.46
60,547.99,652.01,730.18,814.14,947.34
61,546.49,647.44,723.89,806.77,940.34
62,544.65,642.80,717.60,799.43,933.49
63,542.47,638.08,711.32,792.15,926.88
64,539.99,633.31,705.06,784.93,920.55
65,537.21,628.50,698.85,777.82,914.61
66,534.12,623.66,692.69,770.81,909.14
67,530.72,618.79,686.58,763.94,904.26
68,526.99,613.91,680.55,757.21,900.11
69,522.90,609.00,674.60,750.66,896.89
70,518.42,604.07,668.73,744.30,894.83
71,513.47,599.11,662.94,738.15,894.26
72,507.98,594.11,657.23,732.23,895.60
73,501.84,589.07,651.61,726.55,899.40
74,494.90,583.95,646.06,721.12,906.30
75,486.95,578.74,640.55,715.91,916.89
76,477.71,573.37,635.05,710.85,931.52
77,466.80,567.78,629.51,705.83,950.05
78,453.70,561.90,623.85,700.71,971.56
79,437.72,555.63,618.04,695.33,994.28
80,417.98,548.85,612.00,689.54,1015.70
81,393.35,541.41,605.72,683.21,1033.32
82,362.66,533.09,599.17,676.25,1045.03
83,324.95,523.62,592.32,668.61,1049.60
84,280.15,512.58,585.19,660.31,1046.71
85,229.88,499.38,577.77,651.39,1036.79
86,177.81,483.13,570.04,641.95,1020.74
87,128.90,462.59,561.95,632.11,999.70
88,87.40,436.08,553.42,622.02,974.82
89,55.45,401.63,544.26,611.81,947.22
90,32.89,357.60,534.16,601.62,917.86
91,18.19,303.97,522.60,591.57,887.56
92,9.49,245.10,508.99,581.87,857.34
93,4.40,183.15,491.18,572.26,826.66
