edad,C5,C25,C50,C75,C95
18,1286.45,1525.66,1706.09,1898.38,2196.25
19,1281.37,1523.78,1704.85,1896.27,2189.84
20,1276.45,1521.98,1703.68,1894.28,2183.88
21,1271.68,1520.27,1702.57,1892.40,2178.32
22,1267.04,1518.63,1701.51,1890.61,2173.10
23,1262.52,1517.06,1700.49,1888.91,2168.20
24,1258.11,1515.56,1699.53,1887.29,2163.57
25,1253.80,1514.11,1698.60,1885.73,2159.20
26,1249.59,1512.71,1697.71,1884.25,2155.06
27,1245.47,1511.36,1696.85,1882.82,2151.13
28,1241.42,1510.06,1696.03,1881.46,2147.39
29,1237.45,1508.80,1695.24,1880.14,2143.82
30,1233.55,1507.58,1694.47,1878.88,2140.41
31,1229.72,1506.40,1693.73,1877.65,2137.15
32,1225.94,1505.26,1693.01,1876.47,2134.02
33,1222.23,1504.14,1692.32,1875.33,2131.02
34,1218.56,1503.06,1691.65,1874.23,2128.13
35,1214.95,1502.00,1690.99,1873.15,2125.35
36,1211.38,1500.97,1690.36,1872.11,2122.68
37,1207.86,1499.97,1689.74,1871.11,2120.09
38,1204.39,1498.99,1689.14,1870.12,2117.60
39,1200.96,1498.04,1688.55,1869.17,2115.19
40,1197.58,1497.11,1687.98,1868.24,2112.85
41,1194.23,1496.20,1687.42,1867.34,2110.59
42,1190.94,1495.31,1686.88,1866.45,2108.40
43,1187.68,1494.45,1686.35,1865.59,2106.27
44,1184.48,1493.61,1685.83,1864.75,2104.20
45,1181.32,1492.78,1685.33,1863.94,2102.20
46,1178.20,1491.98,1684.84,1863.14,2100.24
47,1175.14,1491.20,1684.36,1862.36,2098.35
48,1172.13,1490.44,1683.89,1861.59,2096.50
49,1169.16,1489.70,1683.44,1860.85,2094.70
50,1166.25,1488.98,1683.00,1860.12,2092.95
51,1163.40,1488.28,1682.57,1859.41,2091.24
52,1160.60,1487.59,1682.15,1858.72,2089.57
53,1157.85,1486.93,1681.74,1858.04,2087.94
54,1155.16,1486.29,1681.34,1857.38,2086.35
55,1152.53,1485.66,1680.96,1856.73,2084.80
56,1149.96,1485.06,1680.58,1856.09,2083.29
57,1147.45,1484.47,1680.22,1855.47,2081.81
58,1144.99,1483.90,1679.86,1854.86,2080.36
59,1142.59,1483.35,1679.51,1854.26,2078.94
60,1140.25,1482.82,1679.18,1853.68,2077.55
61,1137.98,1482.30,1678.85,1853.11,2076.20
62,1135.76,1481.80,1678.54,1852.55,2074.87
63,1133.59,1481.32,1678.23,1852.00,2073.57
64,1131.49,1480.85,1677.93,1851.47,2072.29
65,1129.45,1480.40,1677.64,1850.94,2071.04
66,1127.46,1479.97,1677.36,1850.42,2069.81
67,1125.53,1479.55,1677.08,1849.92,2068.61
68,1123.65,1479.14,1676.81,1849.42,2067.43
69,1121.83,1478.75,1676.56,1848.93,2066.27
70,1120.06,1478.37,1676.30,1848.46,2065.14
71,1118.35,1478.01,1676.06,1847.99,2064.02
72,1116.69,1477.66,1675.82,1847.53,2062.93
73,1115.08,1477.33,1675.59,1847.08,2061.85
74,1113.53,1477.00,1675.37,1846.63,2060.79
75,1112.02,1476.69,1675.15,1846.20,2059.75
76,1110.56,1476.39,1674.94,1845.77,2058.73
77,1109.15,1476.11,1674.73,1845.35,2057.73
78,1107.79,1475.83,1674.54,1844.94,2056.74
79,1106.47,1475.57,1674.34,1844.53,2055.77
80,1105.20,1475.31,1674.15,1844.13,2054.81
81,1103.97,1475.07,1673.97,1843.74,2053.87
82,1102.79,1474.84,1673.80,1843.35,2052.94
83,1101.64,1474.62,1673.62,1842.97,2052.03
84,1100.54,1474.40,1673.46,1842.60,2051.14
85,1099.48,1474.20,1673.30,1842.24,2050.25
86,1098.45,1474.01,1673.14,1841.87,2049.38
87,1097.47,1473.82,1672.99,1841.52,2048.52
88,1096.52,1473.65,1672.84,1841.17,2047.68
89,1095.60,1473.48,1672.69,1840.83,2046.85
90,1094.72,1473.32,1672.56,1840.49,2046.03
91,1093.88,1473.17,1672.42,1840.15,2045.22
92,1093.07,1473.02,1672.29,1839.83,2044.42
93,1092.29,1472.88,1672.16,1839.50,2043.63
