edad,C5,C25,C50,C75,C95
18,4789.44,4984.99,5188.53,5496.79,6286.57
19,4691.54,4932.58,5183.50,5568.73,6615.14
20,4596.85,4894.11,5198.37,5663.55,7012.20
21,4505.66,4856.85,5195.99,5679.22,6978.38
22,4418.16,4810.32,5156.56,5593.59,6488.32
23,4342.63,4767.51,5113.84,5512.81,6205.97
24,4281.09,4730.24,5073.78,5445.73,6036.07
25,4233.61,4697.52,5036.12,5388.08,5918.13
26,4199.55,4668.52,5000.63,5337.55,5830.35
27,4176.52,4642.37,4967.11,5292.56,5761.94
28,4161.48,4618.34,4935.38,5252.03,5706.95
29,4151.45,4595.84,4905.29,5215.16,5661.67
30,4144.09,4574.43,4876.69,5181.37,5623.75
31,4137.96,4553.86,4849.47,5150.26,5591.82
32,4132.17,4533.93,4823.51,5121.52,5565.00
33,4126.36,4514.57,4798.73,5094.95,5542.83
34,4120.35,4495.70,4775.02,5070.37,5525.08
35,4114.07,4477.31,4752.33,5047.63,5511.62
36,4107.33,4459.33,4730.56,5026.56,5502.14
37,4100.00,4441.73,4709.67,5007.02,5496.35
38,4091.99,4424.44,4689.58,4988.85,5493.92
39,4083.26,4407.46,4670.26,4971.92,5494.54
40,4073.82,4390.75,4651.65,4956.10,5497.88
41,4063.66,4374.29,4633.71,4941.27,5503.54
42,4052.68,4358.04,4616.40,4927.26,5510.70
43,4040.76,4341.94,4599.68,4913.91,5518.30
44,4027.78,4325.95,4583.52,4901.06,5525.03
45,4013.66,4310.03,4567.88,4888.55,5529.50
46,3998.28,4294.12,4552.74,4876.19,5530.07
47,3981.50,4278.20,4538.07,4863.83,5525.24
48,3963.16,4262.21,4523.85,4851.31,5513.86
49,3943.15,4246.13,4510.06,4838.56,5495.55
50,3921.55,4229.97,4496.66,4825.58,5471.33
51,3898.40,4213.74,4483.65,4812.42,5442.52
52,3873.72,4197.47,4471.00,4799.13,5410.46
53,3847.45,4181.16,4458.70,4785.76,5376.33
54,3819.68,4164.84,4446.73,4772.41,5341.48
55,3790.52,4148.55,4435.07,4759.19,5307.06
56,3760.11,4132.35,4423.72,4746.17,5273.86
57,3728.62,4116.27,4412.66,4733.45,5242.41
58,3696.22,4100.39,4401.87,4721.07,5212.99
59,3663.06,4084.72,4391.34,4709.08,5185.67
60,3629.26,4069.29,4381.08,4697.48,5160.41
61,3594.95,4054.14,4371.05,4686.28,5137.10
62,3560.33,4039.29,4361.26,4675.49,5115.68
63,3525.63,4024.78,4351.69,4665.12,5096.06
64,3491.11,4010.63,4342.34,4655.16,5078.14
65,3456.91,3996.84,4333.20,4645.59,5061.74
66,3423.14,3983.44,4324.27,4636.39,5046.69
67,3390.01,3970.42,4315.54,4627.54,5032.82
68,3357.79,3957.82,4307.04,4619.04,5020.02
69,3326.78,3945.68,4298.78,4610.86,5008.18
70,3297.23,3934.01,4290.75,4603.01,4997.20
71,3269.25,3922.80,4282.95,4595.46,4986.99
72,3242.74,3912.03,4275.39,4588.18,4977.39
73,3217.59,3901.68,4268.05,4581.14,4968.29
74,3193.66,3891.71,4260.95,4574.32,4959.57
75,3170.82,3882.13,4254.07,4567.69,4951.14
76,3148.97,3872.93,4247.42,4561.25,4942.92
77,3128.05,3864.10,4241.02,4554.98,4934.82
78,3108.05,3855.67,4234.87,4548.86,4926.80
79,3089.05,3847.65,4228.99,4542.89,4918.82
80,3071.14,3840.08,4223.37,4537.07,4910.87
81,3054.42,3832.97,4218.04,4531.39,4902.91
82,3039.03,3826.37,4213.01,4525.86,4894.94
83,3025.07,3820.31,4208.27,4520.47,4886.94
84,3012.67,3814.81,4203.85,4515.22,4878.90
85,3001.92,3809.90,4199.75,4510.11,4870.82
86,2992.93,3805.62,4195.98,4505.13,4862.68
87,2985.75,3801.97,4192.53,4500.29,4854.51
88,2980.37,3798.93,4189.38,4495.57,4846.33
89,2976.75,3796.48,4186.51,4490.98,4838.18
90,2974.77,3794.58,4183.89,4486.51,4830.07
91,2974.31,3793.17,4181.50,4482.14,4822.02
92,2975.21,3792.23,4179.32,4477.89,4814.07
93,2977.28,3791.66,4177.30,4473.71,4806.19
