edad,C5,C25,C50,C75,C95
18,4157.10,5062.13,5399.55,5719.60,6547.22
19,4166.00,5071.32,5412.38,5730.65,6503.11
20,4173.87,5077.18,5421.26,5738.26,6465.38
21,4179.24,5077.96,5424.38,5740.27,6429.02
22,4181.60,5073.19,5421.24,5736.05,6391.83
23,4182.41,5065.13,5414.29,5728.16,6356.04
24,4183.36,5056.26,5406.25,5719.42,6324.11
25,4186.22,5049.05,5399.78,5712.60,6298.23
26,4192.01,5044.90,5396.42,5709.27,6279.34
27,4200.85,5043.97,5396.35,5709.56,6266.79
28,4212.71,5046.19,5399.52,5713.36,6259.91
29,4227.43,5051.35,5405.70,5720.40,6257.93
30,4244.80,5059.19,5414.62,5730.38,6260.23
31,4264.29,5069.24,5425.80,5742.80,6266.18
32,4285.25,5081.00,5438.74,5757.11,6275.15
33,4307.05,5093.93,5452.88,5772.74,6286.50
34,4329.06,5107.51,5467.69,5789.14,6299.56
35,4350.71,5121.22,5482.64,5805.75,6313.70
36,4371.49,5134.58,5497.23,5822.05,6328.30
37,4390.95,5147.16,5511.01,5837.55,6342.74
38,4408.71,5158.54,5523.53,5851.78,6356.49
39,4424.48,5168.41,5534.49,5864.41,6369.10
40,4438.11,5176.58,5543.66,5875.20,6380.27
41,4449.47,5182.88,5550.87,5883.96,6389.72
42,4458.45,5187.14,5555.95,5890.51,6397.21
43,4464.91,5189.17,5558.69,5894.62,6402.46
44,4468.71,5188.80,5558.88,5896.07,6405.19
45,4469.77,5185.87,5556.39,5894.70,6405.20
46,4467.99,5180.28,5551.08,5890.37,6402.31
47,4463.29,5171.90,5542.82,5882.95,6396.37
48,4455.62,5160.67,5531.55,5872.35,6387.26
49,4444.94,5146.54,5517.20,5858.52,6374.93
50,4431.36,5129.59,5499.88,5841.55,6359.45
51,4415.04,5110.01,5479.77,5821.65,6341.05
52,4396.14,5087.97,5457.05,5798.99,6319.90
53,4374.81,5063.62,5431.90,5773.77,6296.21
54,4351.24,5037.18,5404.54,5746.22,6270.23
55,4325.64,5008.87,5375.20,5716.59,6242.23
56,4298.20,4978.91,5344.14,5685.14,6212.50
57,4269.11,4947.52,5311.56,5652.10,6181.30
58,4238.53,4914.88,5277.68,5617.70,6148.86
59,4206.62,4881.19,5242.71,5582.14,6115.45
60,4173.55,4846.63,5206.84,5545.66,6081.29
61,4139.46,4811.38,5170.26,5508.44,6046.63
62,4104.47,4775.58,5133.13,5470.66,6011.67
63,4068.69,4739.36,5095.59,5432.47,5976.58
64,4032.10,4702.71,5057.61,5393.83,5941.35
65,3994.66,4665.55,5019.13,5354.69,5905.91
66,3956.32,4627.85,4980.10,5314.97,5870.21
67,3917.05,4589.55,4940.45,5274.64,5834.19
68,3876.83,4550.62,4900.17,5233.64,5797.84
69,3835.69,4511.10,4859.28,5192.02,5761.19
70,3793.74,4471.09,4817.89,5149.89,5724.39
71,3751.08,4430.70,4776.12,5107.36,5687.57
72,3707.80,4390.03,4734.06,5064.55,5650.87
73,3663.99,4349.15,4691.80,5021.56,5614.40
74,3619.74,4308.16,4649.44,4978.46,5578.27
75,3575.15,4267.16,4607.08,4935.38,5542.63
76,3530.35,4226.27,4564.86,4892.47,5507.65
77,3485.43,4185.63,4522.91,4849.86,5473.52
78,3440.51,4145.33,4481.34,4807.67,5440.39
79,3395.67,4105.47,4440.26,4766.01,5408.40
80,3351.00,4066.13,4399.74,4724.97,5377.68
81,3306.56,4027.39,4359.86,4684.64,5348.35
82,3262.39,3989.27,4320.67,4645.05,5320.49
83,3218.53,3951.82,4282.19,4606.24,5294.18
84,3175.00,3915.05,4244.45,4568.23,5269.50
85,3131.82,3878.98,4207.48,4531.07,5246.52
86,3089.01,3843.64,4171.28,4494.75,5225.31
87,3046.59,3809.03,4135.88,4459.31,5205.94
88,3004.57,3775.17,4101.28,4424.74,5188.49
89,2962.93,3742.02,4067.45,4391.02,5172.97
90,2921.62,3709.54,4034.35,4358.12,5159.45
91,2880.63,3677.72,4001.95,4325.99,5147.97
92,2840.11,3646.62,3970.32,4294.70,5138.51
93,2799.47,3615.91,3939.14,4263.95,5131.38
