edad,C5,C25,C50,C75,C95
18,2088.31,2255.04,2329.03,2381.65,2435.79
19,2079.14,2253.51,2330.73,2385.7,2442.42
20,2068.97,2251.56,2332.23,2389.75,2449.27
21,2057.74,2249.17,2333.51,2393.76,2456.35
22,2045.44,2246.31,2334.54,2397.74,2463.67
23,2032.14,2242.97,2335.3,2401.64,2471.21
24,2018.02,2239.19,2335.74,2405.42,2478.94
25,2003.48,2235.04,2335.87,2409.04,2486.83
26,1989.14,2230.68,2335.7,2412.49,2494.85
27,1975.99,2226.34,2335.3,2415.73,2502.93
28,1965.34,2222.32,2334.74,2418.77,2511.02
29,1958.59,2218.93,2334.16,2421.61,2519.04
30,1956.87,2216.41,2333.65,2424.27,2526.91
31,1960.44,2214.83,2333.26,2426.76,2534.58
32,1968.35,2214.06,2332.98,2429.04,2541.95
33,1978.58,2213.79,2332.73,2431.06,2548.89
34,1988.91,2213.63,2332.35,2432.72,2555.28
35,1997.76,2213.26,2331.73,2433.97,2561
36,2004.39,2212.47,2330.8,2434.76,2565.98
37,2008.71,2211.18,2329.52,2435.07,2570.12
38,2010.92,2209.36,2327.88,2434.9,2573.42
39,2011.42,2207.06,2325.89,2434.29,2575.91
40,2010.54,2204.32,2323.59,2433.26,2577.66
41,2008.55,2201.17,2320.97,2431.85,2578.77
42,2005.74,2197.67,2318.06,2430.1,2579.35
43,2002.38,2193.84,2314.86,2428.03,2579.54
44,1998.74,2189.73,2311.37,2425.68,2579.48
45,1995.05,2185.38,2307.6,2423.08,2579.32
46,1991.37,2180.8,2303.55,2420.25,2579.13
47,1987.69,2175.99,2299.23,2417.19,2578.94
48,1984.03,2170.95,2294.63,2413.91,2578.8
49,1980.38,2165.7,2289.77,2410.43,2578.72
50,1976.64,2160.22,2284.65,2406.75,2578.71
51,1972.74,2154.51,2279.28,2402.86,2578.75
52,1968.6,2148.56,2273.66,2398.77,2578.79
53,1964.17,2142.37,2267.81,2394.49,2578.83
54,1959.42,2135.94,2261.73,2390.01,2578.85
55,1954.33,2129.27,2255.43,2385.35,2578.87
56,1948.88,2122.36,2248.93,2380.52,2578.86
57,1943.13,2115.23,2242.22,2375.53,2578.92
58,1937.15,2107.88,2235.31,2370.42,2579.18
59,1931.04,2100.35,2228.21,2365.2,2579.82
60,1924.89,2092.64,2220.92,2359.93,2581.06
61,1918.74,2084.78,2213.45,2354.62,2583.11
62,1912.61,2076.76,2205.78,2349.3,2586.16
63,1906.52,2068.6,2197.94,2343.99,2590.47
64,1900.46,2060.29,2189.93,2338.73,2596.34
65,1894.36,2051.84,2181.73,2333.52,2603.99
66,1888.14,2043.21,2173.35,2328.34,2613.61
67,1881.72,2034.38,2164.77,2323.2,2625.44
68,1875,2025.33,2155.99,2318.06,2639.67
69,1867.85,2016.03,2147.01,2312.88,2656.13
70,1860.13,2006.46,2137.84,2307.57,2674.13
71,1851.71,1996.57,2128.45,2301.97,2692.31
72,1842.46,1986.33,2118.85,2295.96,2708.84
73,1832.27,1975.73,2109.08,2289.5,2721.98
74,1821.01,1964.78,2099.23,2282.62,2730.35
75,1808.52,1953.47,2089.39,2275.4,2732.75
76,1794.61,1941.78,2079.62,2267.83,2727.83
77,1779,1929.65,2069.9,2259.72,2713.63
78,1761.29,1916.96,2060.15,2250.69,2688.02
79,1740.93,1903.54,2050.26,2240.35,2650.57
80,1717.42,1889.35,2040.22,2228.83,2606.1
81,1690.17,1874.37,2030.15,2216.52,2560.11
82,1658.33,1858.56,2020.05,2203.7,2515.54
83,1620.56,1841.86,2009.96,2190.55,2473.74
84,1574.75,1824.2,1999.87,2177.27,2435.29
85,1517.31,1805.5,1989.81,2164.02,2400.33
86,1444.81,1786.32,1980.09,2151.11,2368.87
87,1379.55,1772.22,1973.05,2139.84,2341.23
88,1354.09,1768.59,1970.41,2130.87,2317.01
89,1363.45,1773.71,1970.84,2123.3,2295.14
90,1390.04,1783.42,1972.41,2116.08,2274.73
91,1422.46,1794.53,1973.79,2108.6,2255.25
92,1455.12,1805.21,1974.34,2100.62,2236.46
93,1485.56,1814.52,1973.74,2092.02,2218.16
