edad,C5,C25,C50,C75,C95
18,6574.26,7204.98,7688.36,8212.94,9048.66
19,6563.94,7191.27,7668.15,8181.87,8992.19
20,6554.75,7178.75,7649.59,8153.46,8941.32
21,6545.71,7166.31,7631.52,8126.48,8894.55
22,6535.49,7152.57,7612.47,8099.35,8850.00
23,6522.97,7136.31,7591.20,8070.73,8806.04
24,6507.63,7117.06,7567.19,8040.04,8761.89
25,6489.80,7095.22,7540.88,8007.69,8717.76
26,6470.08,7071.46,7512.96,7974.36,8674.19
27,6449.35,7046.79,7484.46,7941.06,8632.07
28,6428.42,7022.08,7456.29,7908.66,8592.15
29,6408.02,6998.09,7429.20,7877.93,8555.14
30,6388.70,6975.42,7403.81,7849.46,8521.58
31,6370.65,6954.26,7380.28,7823.40,8491.56
32,6353.92,6934.63,7358.64,7799.75,8465.04
33,6338.33,6916.38,7338.71,7778.28,8441.70
34,6323.64,6899.26,7320.21,7758.70,8421.16
35,6309.50,6882.94,7302.81,7740.63,8402.92
36,6295.56,6867.09,7286.14,7723.66,8386.49
37,6281.40,6851.30,7269.82,7707.35,8371.32
38,6266.62,6835.21,7253.45,7691.29,8356.89
39,6250.87,6818.48,7236.67,7675.08,8342.71
40,6233.80,6800.75,7219.13,7658.32,8328.27
41,6215.11,6781.73,7200.49,7640.63,8313.13
42,6194.54,6761.15,7180.47,7621.72,8296.88
43,6171.88,6738.80,7158.85,7601.30,8279.16
44,6146.92,6714.46,7135.37,7579.10,8259.61
45,6119.53,6687.99,7109.89,7554.93,8237.97
46,6089.64,6659.31,7082.30,7528.65,8214.02
47,6057.25,6628.41,7052.58,7500.22,8187.63
48,6022.39,6595.31,7020.72,7469.59,8158.70
49,5985.07,6560.04,6986.73,7436.74,8127.15
50,5945.45,6522.72,6950.74,7401.78,8093.04
51,5903.71,6483.55,6912.92,7364.87,8056.48
52,5860.02,6442.70,6873.44,7326.16,8017.60
53,5814.55,6400.34,6832.46,7285.79,7976.51
54,5767.52,6356.69,6790.20,7243.97,7933.42
55,5719.15,6311.99,6746.89,7200.94,7888.56
56,5669.68,6266.48,6702.76,7156.93,7842.17
57,5619.29,6220.36,6658.03,7112.13,7794.47
58,5568.17,6173.83,6612.89,7066.76,7745.67
59,5516.53,6127.11,6567.57,7021.06,7696.07
60,5464.55,6080.42,6522.32,6975.28,7645.97
61,5412.41,6033.96,6477.32,6929.66,7595.65
62,5360.26,5987.91,6432.78,6884.38,7545.36
63,5308.19,5942.40,6388.84,6839.62,7495.30
64,5256.29,5897.53,6345.61,6795.49,7445.66
65,5204.55,5853.34,6303.14,6752.08,7396.54
66,5153.01,5809.89,6261.50,6709.45,7348.06
67,5101.65,5767.21,6220.73,6667.67,7300.33
68,5050.48,5725.33,6180.88,6626.80,7253.42
69,4999.46,5684.27,6141.95,6586.84,7207.38
70,4948.51,5643.98,6103.91,6547.76,7162.19
71,4897.57,5604.42,6066.71,6509.52,7117.83
72,4846.57,5565.56,6030.31,6472.09,7074.28
73,4795.43,5527.36,5994.69,6435.44,7031.51
74,4744.07,5489.81,5959.82,6399.52,6989.50
75,4692.42,5452.86,5925.65,6364.32,6948.24
76,4640.44,5416.49,5892.16,6329.79,6907.69
77,4588.09,5380.68,5859.30,6295.89,6867.83
78,4535.40,5345.43,5827.07,6262.60,6828.63
79,4482.45,5310.75,5795.44,6229.90,6790.07
80,4429.37,5276.64,5764.40,6197.76,6752.13
81,4376.39,5243.16,5733.96,6166.17,6714.80
82,4323.79,5210.35,5704.13,6135.15,6678.10
83,4271.91,5178.28,5674.94,6104.71,6642.03
84,4221.12,5147.02,5646.41,6074.86,6606.62
85,4171.79,5116.63,5618.57,6045.62,6571.86
86,4124.27,5087.17,5591.43,6016.99,6537.77
87,4078.86,5058.66,5565.00,5988.98,6504.35
88,4035.82,5031.15,5539.27,5961.57,6471.60
89,3995.30,5004.63,5514.25,5934.76,6439.50
90,3957.42,4979.10,5489.90,5908.53,6408.01
91,3922.21,4954.54,5466.20,5882.84,6377.12
92,3889.71,4930.99,5443.20,5857.75,6346.89
93,3859.70,4908.24,5420.67,5833.03,6317.04
