edad,C5,C25,C50,C75,C95
18,10518.63,11169.82,11566.18,11927.79,12400.10
19,10512.96,11166.17,11565.23,11930.20,12408.20
20,10506.71,11161.80,11563.41,11931.59,12415.07
21,10499.23,11156.07,11560.05,11931.28,12420.05
22,10490.10,11148.51,11554.70,11928.80,12422.66
23,10479.35,11139.19,11547.44,11924.25,12423.01
24,10467.05,11128.20,11538.37,11917.74,12421.23
25,10453.16,11115.51,11527.45,11909.25,12417.30
26,10437.56,11101.00,11514.58,11898.66,12411.13
27,10420.04,11084.46,11499.53,11885.76,12402.49
28,10400.44,11065.75,11482.18,11870.40,12391.26
29,10378.80,11044.89,11462.55,11852.64,12377.48
30,10355.15,11021.95,11440.71,11832.53,12361.23
31,10329.48,10996.93,11416.66,11810.09,12342.55
32,10301.78,10969.81,11390.41,11785.32,12321.43
33,10272.12,10940.69,11362.03,11758.31,12297.98
34,10240.60,10909.68,11331.67,11729.21,12272.36
35,10207.37,10876.95,11299.50,11698.20,12244.78
36,10172.57,10842.67,11265.69,11665.47,12215.44
37,10136.35,10807.00,11230.41,11631.18,12184.52
38,10098.82,10770.08,11193.82,11595.51,12152.22
39,10060.11,10732.03,11156.05,11558.60,12118.70
40,10020.28,10692.97,11117.20,11520.56,12084.08
41,9979.42,10652.97,11077.38,11481.48,12048.48
42,9937.56,10612.09,11036.65,11441.45,12011.98
43,9894.70,10570.35,10995.01,11400.47,11974.62
44,9850.82,10527.72,10952.46,11358.54,11936.40
45,9805.91,10484.22,10909.00,11315.67,11897.34
46,9759.95,10439.85,10864.64,11271.86,11857.46
47,9712.93,10394.60,10819.37,11227.11,11816.78
48,9664.84,10348.47,10773.21,11181.44,11775.33
49,9615.68,10301.47,10726.17,11134.86,11733.14
50,9565.49,10253.70,10678.32,11087.45,11690.31
51,9514.37,10205.24,10629.79,11039.36,11647.01
52,9462.39,10156.22,10580.70,10990.68,11603.37
53,9409.62,10106.71,10531.12,10941.53,11559.53
54,9356.17,10056.86,10481.23,10892.07,11515.67
55,9302.18,10006.84,10431.19,10842.48,11472.03
56,9247.77,9956.82,10381.18,10792.96,11428.82
57,9193.06,9906.94,10331.35,10743.65,11386.24
58,9138.12,9857.32,10281.84,10694.71,11344.49
59,9083.03,9808.06,10232.75,10646.24,11303.70
60,9027.80,9759.24,10184.17,10598.34,11264.01
61,8972.48,9710.92,10136.16,10551.09,11225.56
62,8917.08,9663.17,10088.79,10504.55,11188.46
63,8861.59,9616.02,10042.12,10458.79,11152.82
64,8805.98,9569.49,9996.14,10413.81,11118.71
65,8750.18,9523.55,9950.86,10369.61,11086.19
66,8694.14,9478.20,9906.26,10326.19,11055.30
67,8637.78,9433.43,9862.34,10283.54,11026.12
68,8581.04,9389.22,9819.07,10241.65,10998.72
69,8523.84,9345.56,9776.46,10200.52,10973.17
70,8466.12,9302.44,9734.50,10160.16,10949.58
71,8407.81,9259.88,9693.21,10120.58,10928.06
72,8348.83,9217.86,9652.57,10081.77,10908.73
73,8289.10,9176.38,9612.58,10043.74,10891.72
74,8228.53,9135.43,9573.25,10006.50,10877.17
75,8167.03,9095.01,9534.57,9970.05,10865.24
76,8104.52,9055.12,9496.54,9934.39,10856.11
77,8040.90,9015.74,9459.15,9899.52,10849.97
78,7976.06,8976.86,9422.39,9865.44,10847.04
79,7909.91,8938.49,9386.27,9832.16,10847.56
80,7842.35,8900.61,9350.77,9799.67,10851.81
81,7773.27,8863.21,9315.90,9767.99,10860.09
82,7702.58,8826.30,9281.63,9737.10,10872.76
83,7630.17,8789.86,9247.98,9707.02,10890.20
84,7555.94,8753.88,9214.93,9677.75,10912.87
85,7479.81,8718.35,9182.47,9649.29,10941.25
86,7401.69,8683.28,9150.60,9621.64,10975.94
87,7321.49,8648.65,9119.31,9594.82,11017.59
88,7239.13,8614.45,9088.59,9568.83,11066.95
89,7154.55,8580.68,9058.43,9543.66,11124.88
90,7067.67,8547.30,9028.81,9519.32,11192.35
91,6978.45,8514.32,8999.72,9495.80,11270.51
92,6887.45,8481.81,8971.19,9473.12,11359.74
93,6792.82,8449.46,8943.03,9451.26,11464.41
