edad,C5,C25,C50,C75,C95
18,505.71,620.31,678.77,727.36,786.03
19,510.55,630.67,692.11,743.24,805.07
20,513.82,639.07,703.31,756.87,821.71
21,515.01,644.81,711.60,767.37,835.00
22,513.95,647.64,716.66,774.40,844.54
23,511.07,648.06,719.04,778.52,850.91
24,507.01,646.84,719.56,780.63,855.07
25,502.56,644.99,719.34,781.90,858.32
26,498.32,643.25,719.21,783.25,861.64
27,494.62,642.07,719.66,785.24,865.66
28,491.62,641.69,720.99,788.15,870.70
29,489.25,642.02,723.08,791.91,876.67
30,487.38,642.91,725.79,796.32,883.39
31,485.80,644.08,728.79,801.07,890.49
32,484.26,645.22,731.76,805.77,897.55
33,482.61,646.12,734.43,810.15,904.27
34,480.71,646.60,736.61,813.99,910.40
35,478.49,646.56,738.16,817.13,915.77
36,475.88,645.90,739.00,819.48,920.25
37,472.88,644.60,739.08,820.98,923.79
38,469.46,642.63,738.37,821.59,926.33
39,465.64,640.00,736.88,821.32,927.88
40,461.45,636.77,734.65,820.22,928.48
41,456.94,632.98,731.75,818.35,928.20
42,452.16,628.69,728.24,815.78,927.13
43,447.18,624.02,724.25,812.65,925.41
44,442.10,619.09,719.92,809.11,923.21
45,436.97,613.99,715.35,805.29,920.67
46,431.83,608.75,710.59,801.24,917.84
47,426.67,603.39,705.64,796.94,914.73
48,421.50,597.90,700.51,792.41,911.33
49,416.31,592.27,695.17,787.64,907.63
50,411.09,586.50,689.64,782.61,903.62
51,405.83,580.58,683.88,777.30,899.26
52,400.53,574.48,677.88,771.69,894.55
53,395.16,568.21,671.63,765.78,889.46
54,389.74,561.75,665.13,759.55,883.96
55,384.24,555.10,658.35,752.98,878.06
56,378.67,548.25,651.30,746.07,871.73
57,373.02,541.19,643.97,738.81,864.97
58,367.29,533.94,636.36,731.20,857.77
59,361.49,526.50,628.50,723.26,850.15
60,355.64,518.90,620.40,715.03,842.16
61,349.75,511.17,612.10,706.54,833.82
62,343.83,503.32,603.62,697.80,825.17
63,337.90,495.37,594.99,688.85,816.23
64,331.96,487.35,586.23,679.73,807.05
65,326.04,479.30,577.39,670.48,797.67
66,320.16,471.23,568.50,661.13,788.15
67,314.32,463.18,559.58,651.73,778.52
68,308.55,455.16,550.66,642.29,768.81
69,302.84,447.18,541.77,632.85,759.07
70,297.22,439.28,532.93,623.44,749.31
71,291.68,431.46,524.15,614.07,739.57
72,286.23,423.73,515.45,604.76,729.86
73,280.89,416.11,506.85,595.54,720.22
74,275.64,408.61,498.36,586.41,710.66
75,270.50,401.23,489.99,577.39,701.20
76,265.48,393.98,481.75,568.51,691.85
77,260.56,386.87,473.66,559.76,682.64
78,255.77,379.91,465.71,551.16,673.58
79,251.09,373.10,457.92,542.72,664.67
80,246.52,366.44,450.29,534.44,655.93
81,242.08,359.94,442.83,526.34,647.37
82,237.76,353.60,435.54,518.42,639.00
83,233.55,347.41,428.43,510.67,630.81
84,229.46,341.39,421.49,503.12,622.83
85,225.49,335.53,414.73,495.75,615.05
86,221.64,329.83,408.15,488.57,607.47
87,217.90,324.29,401.74,481.59,600.11
88,214.27,318.91,395.51,474.79,592.95
89,210.76,313.68,389.45,468.18,585.99
90,207.34,308.60,383.56,461.74,579.23
91,204.02,303.66,377.82,455.48,572.66
92,200.81,298.87,372.25,449.40,566.29
93,197.67,294.17,366.79,443.42,560.03
