edad,C5,C25,C50,C75,C95
18,1149.92,1472.96,1649.77,1802.78,1994.39
19,1156.55,1478.74,1656.35,1810.69,2004.66
20,1162.93,1484.23,1662.59,1818.18,2014.42
21,1169.03,1489.39,1668.43,1825.22,2023.64
22,1174.82,1494.20,1673.86,1831.78,2032.27
23,1180.28,1498.63,1678.85,1837.83,2040.32
24,1185.41,1502.68,1683.42,1843.40,2047.78
25,1190.23,1506.41,1687.60,1848.53,2054.73
26,1194.79,1509.85,1691.46,1853.27,2061.22
27,1199.10,1513.03,1695.02,1857.68,2067.31
28,1203.19,1516.00,1698.32,1861.80,2073.05
29,1207.06,1518.74,1701.38,1865.62,2078.44
30,1210.71,1521.27,1704.19,1869.16,2083.48
31,1214.14,1523.56,1706.74,1872.40,2088.17
32,1217.31,1525.60,1708.99,1875.30,2092.47
33,1220.22,1527.36,1710.93,1877.85,2096.35
34,1222.85,1528.83,1712.55,1880.03,2099.79
35,1225.20,1529.99,1713.82,1881.83,2102.79
36,1227.26,1530.85,1714.74,1883.24,2105.34
37,1229.03,1531.39,1715.32,1884.25,2107.43
38,1230.50,1531.62,1715.54,1884.86,2109.06
39,1231.68,1531.55,1715.42,1885.09,2110.24
40,1232.59,1531.18,1714.97,1884.96,2111.00
41,1233.25,1530.54,1714.23,1884.48,2111.37
42,1233.65,1529.65,1713.19,1883.68,2111.36
43,1233.83,1528.52,1711.90,1882.60,2111.02
44,1233.80,1527.19,1710.38,1881.25,2110.38
45,1233.57,1525.66,1708.64,1879.66,2109.46
46,1233.17,1523.97,1706.71,1877.86,2108.29
47,1232.59,1522.11,1704.62,1875.86,2106.90
48,1231.86,1520.12,1702.36,1873.70,2105.32
49,1230.98,1518.00,1699.97,1871.37,2103.55
50,1229.96,1515.77,1697.46,1868.91,2101.64
51,1228.81,1513.44,1694.85,1866.34,2099.61
52,1227.55,1511.04,1692.16,1863.68,2097.49
53,1226.19,1508.58,1689.41,1860.95,2095.30
54,1224.72,1506.07,1686.61,1858.17,2093.08
55,1223.16,1503.52,1683.78,1855.36,2090.84
56,1221.51,1500.95,1680.94,1852.54,2088.62
57,1219.76,1498.36,1678.08,1849.71,2086.43
58,1217.92,1495.77,1675.24,1846.89,2084.30
59,1215.99,1493.17,1672.41,1844.10,2082.25
60,1213.94,1490.58,1669.59,1841.34,2080.29
61,1211.78,1487.98,1666.80,1838.61,2078.46
62,1209.48,1485.39,1664.03,1835.93,2076.76
63,1207.04,1482.80,1661.29,1833.30,2075.21
64,1204.42,1480.20,1658.57,1830.71,2073.85
65,1201.60,1477.59,1655.88,1828.17,2072.68
66,1198.54,1474.96,1653.19,1825.67,2071.73
67,1195.22,1472.30,1650.52,1823.22,2071.02
68,1191.58,1469.60,1647.85,1820.82,2070.59
69,1187.60,1466.86,1645.19,1818.46,2070.48
70,1183.21,1464.06,1642.53,1816.16,2070.73
71,1178.37,1461.20,1639.87,1813.92,2071.41
72,1173.01,1458.28,1637.21,1811.74,2072.57
73,1167.05,1455.28,1634.56,1809.65,2074.31
74,1160.42,1452.19,1631.91,1807.65,2076.71
75,1153.03,1449.02,1629.26,1805.75,2079.89
76,1144.77,1445.75,1626.64,1803.97,2083.98
77,1135.55,1442.38,1624.03,1802.34,2089.17
78,1125.24,1438.92,1621.46,1800.89,2095.66
79,1113.72,1435.35,1618.92,1799.64,2103.69
80,1100.87,1431.69,1616.45,1798.62,2113.56
81,1086.57,1427.93,1614.04,1797.88,2125.67
82,1070.72,1424.10,1611.73,1797.45,2140.50
83,1053.24,1420.21,1609.52,1797.40,2158.65
84,1034.09,1416.27,1607.45,1797.78,2180.93
85,1013.29,1412.33,1605.55,1798.66,2208.36
86,990.94,1408.41,1603.85,1800.14,2242.31
87,967.21,1404.58,1602.38,1802.32,2284.62
88,942.36,1400.88,1601.18,1805.31,2337.79
89,916.71,1397.38,1600.29,1809.28,2405.29
90,890.68,1394.14,1599.76,1814.41,2492.02
91,864.67,1391.24,1599.62,1820.92,2605.00
92,839.53,1388.76,1599.87,1828.91,2751.66
93,814.48,1386.75,1600.69,1839.34,2956.37
