edad,C5,C25,C50,C75,C95
18,5102.02,5424.80,5693.65,6012.05,6594.95
19,5018.12,5347.15,5619.34,5939.13,6516.29
20,4940.92,5276.08,5551.44,5872.47,6444.05
21,4869.56,5210.72,5489.11,5811.23,6377.43
22,4803.34,5150.35,5431.64,5754.74,6315.84
23,4741.70,5094.40,5378.44,5702.46,6258.77
24,4684.17,5042.37,5329.04,5653.90,6205.84
25,4630.38,4993.85,5283.02,5608.69,6156.69
26,4579.99,4948.48,5240.02,5566.47,6110.99
27,4532.66,4905.96,5199.73,5526.96,6068.38
28,4488.09,4865.99,5161.91,5489.88,6028.51
29,4445.98,4828.34,5126.31,5454.99,5991.03
30,4406.08,4792.78,5092.72,5422.07,5955.67
31,4368.17,4759.12,5060.97,5390.95,5922.19
32,4332.04,4727.20,5030.90,5361.47,5890.37
33,4297.53,4696.86,5002.38,5333.47,5860.06
34,4264.49,4667.98,4975.26,5306.85,5831.10
35,4232.77,4640.44,4949.45,5281.47,5803.36
36,4202.26,4614.13,4924.84,5257.25,5776.72
37,4172.84,4588.95,4901.35,5234.10,5751.10
38,4144.42,4564.83,4878.89,5211.93,5726.39
39,4116.91,4541.69,4857.39,5190.68,5702.52
40,4090.22,4519.45,4836.78,5170.27,5679.44
41,4064.29,4498.06,4817.01,5150.65,5657.07
42,4039.06,4477.45,4798.02,5131.77,5635.38
43,4014.45,4457.59,4779.76,5113.59,5614.33
44,3990.43,4438.41,4762.19,5096.05,5593.87
45,3966.94,4419.88,4745.26,5079.11,5573.97
46,3943.94,4401.96,4728.94,5062.75,5554.59
47,3921.38,4384.61,4713.19,5046.92,5535.72
48,3899.23,4367.80,4697.97,5031.61,5517.33
49,3877.45,4351.50,4683.27,5016.77,5499.40
50,3856.01,4335.68,4669.05,5002.39,5481.90
51,3834.88,4320.31,4655.28,4988.43,5464.82
52,3814.05,4305.38,4641.94,4974.89,5448.15
53,3793.49,4290.85,4629.02,4961.74,5431.89
54,3773.19,4276.72,4616.49,4948.96,5416.02
55,3753.12,4262.97,4604.32,4936.54,5400.53
56,3733.28,4249.57,4592.51,4924.46,5385.41
57,3713.64,4236.51,4581.04,4912.70,5370.65
58,3694.20,4223.77,4569.89,4901.26,5356.24
59,3674.93,4211.35,4559.04,4890.12,5342.17
60,3655.83,4199.23,4548.49,4879.26,5328.43
61,3636.87,4187.39,4538.22,4868.67,5315.01
62,3618.05,4175.82,4528.21,4858.35,5301.90
63,3599.35,4164.52,4518.47,4848.29,5289.09
64,3580.77,4153.47,4508.97,4838.46,5276.57
65,3562.30,4142.67,4499.71,4828.87,5264.34
66,3543.94,4132.10,4490.68,4819.51,5252.38
67,3525.68,4121.77,4481.87,4810.36,5240.69
68,3507.53,4111.66,4473.27,4801.43,5229.25
69,3489.50,4101.77,4464.88,4792.70,5218.07
70,3471.61,4092.10,4456.69,4784.17,5207.13
71,3453.87,4082.64,4448.70,4775.83,5196.44
72,3436.31,4073.40,4440.90,4767.68,5185.97
73,3418.95,4064.38,4433.29,4759.71,5175.73
74,3401.81,4055.57,4425.86,4751.92,5165.71
75,3384.92,4046.97,4418.61,4744.31,5155.91
76,3368.32,4038.59,4411.54,4736.86,5146.32
77,3352.02,4030.41,4404.65,4729.58,5136.93
78,3336.07,4022.46,4397.92,4722.46,5127.74
79,3320.48,4014.71,4391.36,4715.49,5118.74
80,3305.28,4007.17,4384.96,4708.68,5109.94
81,3290.49,3999.84,4378.72,4702.02,5101.31
82,3276.12,3992.72,4372.64,4695.50,5092.87
83,3262.21,3985.80,4366.71,4689.12,5084.60
84,3248.74,3979.09,4360.93,4682.89,5076.50
85,3235.75,3972.57,4355.29,4676.78,5068.56
86,3223.22,3966.25,4349.79,4670.80,5060.79
87,3211.17,3960.11,4344.43,4664.95,5053.17
88,3199.60,3954.17,4339.20,4659.22,5045.70
89,3188.49,3948.40,4334.10,4653.61,5038.37
90,3177.85,3942.81,4329.12,4648.12,5031.19
91,3167.67,3937.40,4324.26,4642.73,5024.15
92,3157.97,3932.16,4319.54,4637.47,5017.26
93,3148.66,3927.06,4314.90,4632.29,5010.46
