edad,C5,C25,C50,C75,C95
18,4508.49,5064.75,5451.41,5838.06,6394.33
19,4548.51,5102.80,5488.08,5873.36,6427.65
20,4583.16,5135.58,5519.56,5903.54,6455.96
21,4610.52,5161.17,5543.93,5926.68,6477.33
22,4629.66,5178.65,5560.25,5941.86,6490.85
23,4642.07,5189.53,5570.06,5950.60,6498.06
24,4649.64,5195.68,5575.24,5954.79,6500.83
25,4654.33,5199.08,5577.74,5956.39,6501.15
26,4657.37,5200.96,5578.80,5956.64,6500.22
27,4659.07,5201.59,5578.69,5955.80,6498.32
28,4659.67,5201.25,5577.69,5954.13,6495.70
29,4659.72,5200.44,5576.28,5952.13,6492.85
30,4659.66,5199.62,5574.95,5950.27,6490.23
31,4659.78,5199.08,5573.94,5948.80,6488.10
32,4660.25,5198.97,5573.44,5947.90,6486.62
33,4661.10,5199.35,5573.48,5947.61,6485.85
34,4662.35,5200.20,5574.06,5947.91,6485.77
35,4663.91,5201.46,5575.10,5948.75,6486.30
36,4665.75,5203.08,5576.57,5950.06,6487.39
37,4667.84,5205.03,5578.42,5951.82,6489.01
38,4670.15,5207.27,5580.62,5953.97,6491.09
39,4672.59,5209.72,5583.07,5956.42,6493.55
40,4675.00,5212.20,5585.61,5959.01,6496.21
41,4677.25,5214.59,5588.08,5961.58,6498.91
42,4679.18,5216.71,5590.34,5963.96,6501.49
43,4680.59,5218.35,5592.15,5965.94,6503.71
44,4681.25,5219.30,5593.30,5967.29,6505.34
45,4680.99,5219.37,5593.60,5967.82,6506.21
46,4679.54,5218.29,5592.78,5967.26,6506.02
47,4676.56,5215.72,5590.49,5965.26,6504.43
48,4671.74,5211.35,5586.43,5961.52,6501.13
49,4664.83,5204.93,5580.35,5955.77,6495.88
50,4655.64,5196.27,5572.05,5947.84,6488.46
51,4644.03,5185.22,5561.39,5937.57,6478.75
52,4629.88,5171.67,5548.25,5924.84,6466.62
53,4613.09,5155.50,5532.53,5909.55,6451.96
54,4593.68,5136.76,5514.24,5891.73,6434.80
55,4571.72,5115.49,5493.46,5871.42,6415.19
56,4547.32,5091.81,5470.28,5848.75,6393.25
57,4520.56,5065.81,5444.81,5823.81,6369.05
58,4491.56,5037.60,5417.14,5796.69,6342.72
59,4460.54,5007.39,5387.50,5767.61,6314.46
60,4427.75,4975.44,5356.13,5736.83,6284.52
61,4393.42,4941.98,5323.28,5704.57,6253.13
62,4357.77,4907.22,5289.14,5671.05,6220.50
63,4320.99,4871.35,5253.90,5636.46,6186.82
64,4283.20,4834.50,5217.70,5600.90,6152.20
65,4244.48,4796.73,5180.60,5564.47,6116.72
66,4204.92,4758.15,5142.69,5527.23,6080.46
67,4164.59,4718.81,5104.04,5489.27,6043.49
68,4123.57,4678.79,5064.72,5450.65,6005.87
69,4081.94,4638.18,5024.81,5411.44,5967.68
70,4039.79,4597.05,4984.39,5371.74,5929.00
71,3997.20,4555.49,4943.55,5331.62,5889.91
72,3954.25,4513.58,4902.37,5291.15,5850.48
73,3911.03,4471.40,4860.91,5250.42,5810.79
74,3867.59,4429.01,4819.24,5209.48,5770.90
75,3824.03,4386.49,4777.45,5168.42,5730.88
76,3780.43,4343.94,4735.63,5127.32,5690.83
77,3736.90,4301.45,4693.86,5086.27,5650.83
78,3693.51,4259.10,4652.23,5045.37,5610.96
79,3650.34,4216.96,4610.82,5004.67,5571.30
80,3607.47,4175.12,4569.69,4964.26,5531.91
81,3564.95,4133.62,4528.90,4924.18,5492.85
82,3522.84,4092.53,4488.51,4884.49,5454.18
83,3481.17,4051.87,4448.55,4845.23,5415.92
84,3439.99,4011.68,4409.06,4806.43,5378.12
85,3399.33,3972.01,4370.07,4768.13,5340.81
86,3359.22,3932.87,4331.62,4730.36,5304.02
87,3319.68,3894.31,4293.73,4693.14,5267.77
88,3280.74,3856.33,4256.42,4656.50,5232.09
89,3242.37,3818.91,4219.66,4620.41,5196.95
90,3204.54,3782.02,4183.43,4584.83,5162.31
91,3167.22,3745.63,4147.68,4549.73,5128.15
92,3130.44,3709.78,4112.47,4515.16,5094.50
93,3093.98,3674.23,4077.56,4480.89,5061.14
