edad,C5,C25,C50,C75,C95
18,2213.53,2421.71,2539.29,2642.13,2771.36
19,2213.39,2419.69,2536.55,2638.93,2767.75
20,2212.72,2417.22,2533.39,2635.32,2763.74
21,2211.14,2413.93,2529.45,2630.95,2759.00
22,2208.41,2409.60,2524.51,2625.62,2753.34
23,2204.57,2404.25,2518.61,2619.40,2746.87
24,2199.76,2397.98,2511.86,2612.39,2739.73
25,2194.17,2390.89,2504.33,2604.68,2732.03
26,2187.97,2383.09,2496.13,2596.37,2723.87
27,2181.37,2374.74,2487.38,2587.58,2715.40
28,2174.68,2366.08,2478.33,2578.56,2706.85
29,2168.47,2357.62,2469.47,2569.81,2698.81
30,2163.24,2349.80,2461.24,2561.81,2691.81
31,2159.12,2342.78,2453.81,2554.73,2686.08
32,2156.13,2336.62,2447.25,2548.66,2681.69
33,2154.20,2331.34,2441.59,2543.61,2678.71
34,2153.26,2326.93,2436.82,2539.60,2677.16
35,2153.20,2323.38,2432.96,2536.64,2677.03
36,2153.95,2320.66,2429.97,2534.69,2678.34
37,2155.44,2318.75,2427.84,2533.73,2681.07
38,2157.60,2317.60,2426.52,2533.73,2685.20
39,2160.26,2317.09,2425.91,2534.56,2690.62
40,2163.14,2317.02,2425.78,2536.00,2697.05
41,2166.02,2317.18,2425.96,2537.83,2704.24
42,2168.65,2317.36,2426.24,2539.83,2711.91
43,2170.78,2317.32,2426.35,2541.72,2719.73
44,2172.14,2316.78,2426.03,2543.20,2727.31
45,2172.52,2315.53,2425.05,2544.04,2734.35
46,2171.79,2313.41,2423.26,2544.05,2740.58
47,2169.84,2310.32,2420.53,2543.10,2745.80
48,2166.59,2306.17,2416.79,2541.08,2749.81
49,2162.00,2300.89,2411.96,2537.90,2752.44
50,2156.10,2294.50,2406.07,2533.60,2753.64
51,2148.99,2287.09,2399.18,2528.24,2753.47
52,2140.76,2278.75,2391.40,2521.90,2751.96
53,2131.50,2269.53,2382.77,2514.65,2749.15
54,2121.31,2259.54,2373.42,2506.60,2745.14
55,2110.31,2248.90,2363.43,2497.86,2740.05
56,2098.63,2237.70,2352.92,2488.55,2734.01
57,2086.37,2226.03,2341.99,2478.76,2727.15
58,2073.61,2214.00,2330.72,2468.60,2719.58
59,2060.43,2201.66,2319.19,2458.13,2711.37
60,2046.88,2189.08,2307.46,2447.42,2702.58
61,2033.03,2176.32,2295.58,2436.54,2693.25
62,2018.90,2163.43,2283.62,2425.53,2683.45
63,2004.54,2150.45,2271.62,2414.44,2673.19
64,1989.93,2137.39,2259.58,2403.27,2662.44
65,1975.05,2124.23,2247.51,2392.00,2651.15
66,1959.86,2110.97,2235.39,2380.63,2639.26
67,1944.34,2097.60,2223.23,2369.13,2626.73
68,1928.45,2084.12,2211.02,2357.51,2613.54
69,1912.15,2070.52,2198.76,2345.74,2599.66
70,1895.41,2056.80,2186.46,2333.84,2585.11
71,1878.20,2042.97,2174.13,2321.81,2569.89
72,1860.46,2029.03,2161.78,2309.64,2554.04
73,1842.14,2014.98,2149.41,2297.33,2537.57
74,1823.16,2000.82,2137.03,2284.90,2520.53
75,1803.44,1986.54,2124.65,2272.34,2503.00
76,1782.92,1972.17,2112.28,2259.69,2485.07
77,1761.47,1957.69,2099.93,2246.95,2466.83
78,1738.98,1943.13,2087.63,2234.15,2448.35
79,1715.27,1928.47,2075.37,2221.31,2429.72
80,1690.11,1913.73,2063.17,2208.43,2411.01
81,1663.21,1898.89,2051.05,2195.54,2392.27
82,1634.22,1883.97,2039.01,2182.68,2373.62
83,1602.81,1869.01,2027.10,2169.87,2355.14
84,1569.19,1854.18,2015.40,2157.20,2336.92
85,1534.85,1839.88,2004.10,2144.78,2319.07
86,1502.50,1826.66,1993.42,2132.74,2301.69
87,1475.01,1814.97,1983.52,2121.16,2284.82
88,1454.16,1805.08,1974.46,2110.07,2268.50
89,1440.21,1796.95,1966.19,2099.42,2252.70
90,1432.37,1790.43,1958.59,2089.15,2237.36
91,1429.38,1785.22,1951.52,2079.19,2222.44
92,1429.96,1781.05,1944.88,2069.50,2207.94
93,1432.97,1777.59,1938.46,2059.94,2193.72
