edad,C5,C25,C50,C75,C95
18,6184.45,6686.73,7107.62,7608.12,8526.94
19,6167.29,6695.23,7121.28,7607.74,8442.78
20,6149.09,6703.58,7134.60,7608.75,8378.79
21,6128.93,6710.80,7146.54,7609.75,8327.73
22,6105.63,6715.70,7155.84,7609.14,8284.24
23,6078.56,6717.41,7161.56,7605.77,8244.95
24,6047.89,6715.67,7163.32,7599.18,8208.00
25,6014.81,6710.89,7161.42,7589.65,8172.88
26,5980.68,6703.56,7156.30,7577.60,8139.35
27,5946.93,6694.28,7148.51,7563.56,8107.33
28,5915.11,6683.59,7138.56,7548.01,8076.89
29,5887.05,6672.10,7126.99,7531.49,8048.31
30,5864.29,6660.26,7114.22,7514.44,8021.85
31,5847.73,6648.22,7100.40,7496.99,7997.51
32,5837.83,6636.01,7085.55,7479.19,7975.25
33,5834.14,6623.51,7069.60,7460.89,7954.75
34,5835.83,6610.55,7052.42,7441.93,7935.66
35,5841.62,6596.90,7033.89,7422.07,7917.51
36,5850.02,6582.41,7013.95,7401.19,7899.96
37,5859.46,6566.93,6992.63,7379.22,7882.70
38,5868.51,6550.36,6969.95,7356.12,7865.45
39,5876.16,6532.60,6945.97,7331.87,7847.97
40,5881.69,6513.65,6920.76,7306.48,7830.07
41,5884.69,6493.48,6894.41,7279.98,7811.55
42,5884.89,6472.10,6866.98,7252.38,7792.21
43,5882.16,6449.48,6838.49,7223.65,7771.79
44,5876.43,6425.60,6808.96,7193.75,7750.02
45,5867.71,6400.45,6778.40,7162.66,7726.67
46,5856.01,6373.97,6746.76,7130.28,7701.43
47,5841.36,6346.04,6713.92,7096.49,7674.00
48,5823.77,6316.59,6679.79,7061.15,7644.10
49,5803.29,6285.55,6644.30,7024.18,7611.49
50,5780.01,6252.92,6607.43,6985.57,7576.08
51,5754.11,6218.74,6569.22,6945.35,7537.87
52,5725.70,6183.05,6529.70,6903.56,7496.89
53,5694.90,6145.90,6488.90,6860.23,7453.18
54,5661.91,6107.42,6446.95,6815.53,7406.94
55,5626.95,6067.79,6404.01,6769.65,7358.45
56,5590.25,6027.18,6360.27,6722.79,7308.03
57,5551.98,5985.76,6315.89,6675.13,7255.96
58,5512.34,5943.68,6271.03,6626.87,7202.56
59,5471.57,5901.16,6225.88,6578.25,7148.30
60,5429.94,5858.41,6180.66,6529.54,7093.67
61,5387.70,5815.63,6135.56,6480.95,7039.14
62,5345.02,5773.00,6090.75,6432.71,6985.10
63,5302.06,5730.65,6046.36,6384.99,6931.93
64,5258.86,5688.64,6002.47,6337.88,6879.87
65,5215.40,5647.03,5959.12,6291.45,6829.12
66,5171.68,5605.83,5916.34,6245.76,6779.86
67,5127.61,5565.06,5874.16,6200.86,6732.30
68,5083.13,5524.75,5832.62,6156.79,6686.64
69,5038.09,5484.88,5791.72,6113.60,6643.07
70,4992.28,5445.44,5751.47,6071.31,6601.76
71,4945.44,5406.41,5711.87,6029.94,6562.94
72,4897.26,5367.74,5672.92,5989.51,6526.87
73,4847.33,5329.41,5634.62,5950.05,6493.85
74,4795.17,5291.37,5596.96,5911.60,6464.31
75,4740.16,5253.57,5559.94,5874.18,6438.73
76,4681.49,5215.94,5523.54,5837.83,6417.73
77,4618.20,5178.43,5487.77,5802.58,6402.12
78,4549.13,5140.97,5452.62,5768.51,6392.94
79,4473.03,5103.54,5418.12,5735.69,6391.57
80,4388.86,5066.19,5384.33,5704.25,6399.79
81,4295.95,5029.04,5351.32,5674.35,6420.15
82,4194.63,4992.30,5319.26,5646.23,6456.07
83,4086.54,4956.31,5288.29,5620.19,6512.32
84,3974.81,4921.44,5258.60,5596.61,6595.57
85,3863.78,4888.12,5230.36,5575.93,6715.28
86,3758.29,4856.78,5203.73,5558.71,6884.96
87,3662.74,4827.83,5178.83,5545.67,7124.10
88,3580.36,4801.57,5155.74,5537.73,7460.92
89,3512.92,4778.22,5134.52,5536.12,7936.30
90,3460.83,4757.88,5115.19,5542.54,8609.08
91,3423.51,4740.56,5097.76,5559.39,9563.07
92,3400.27,4726.03,5082.11,5588.96,10884.01
93,3388.04,4714.37,5068.72,5639.74,12832.28
