edad,C5,C25,C50,C75,C95
18,9975.98,10770.50,11155.77,11467.04,11832.36
19,9994.83,10762.05,11145.01,11458.97,11831.84
20,10013.02,10753.25,11133.63,11450.01,11830.23
21,10028.42,10743.18,11120.92,11439.53,11826.93
22,10039.67,10731.35,11106.62,11427.38,11821.79
23,10046.63,10718.10,11091.21,11414.11,11815.46
24,10049.80,10703.95,11075.32,11400.44,11808.65
25,10050.05,10689.57,11059.64,11387.08,11802.14
26,10048.02,10675.21,11044.42,11374.29,11796.22
27,10043.86,10660.59,11029.28,11361.69,11790.49
28,10037.70,10645.41,11013.86,11348.89,11784.60
29,10029.64,10629.44,10997.86,11335.60,11778.27
30,10019.79,10612.47,10981.03,11321.54,11771.28
31,10008.20,10594.32,10963.12,11306.46,11763.42
32,9994.90,10574.78,10943.88,11290.11,11754.51
33,9979.93,10553.82,10923.25,11272.45,11744.53
34,9963.34,10531.47,10901.27,11253.51,11733.54
35,9945.18,10507.82,10878.06,11233.43,11721.69
36,9925.44,10482.91,10853.66,11212.25,11709.03
37,9904.01,10456.71,10828.09,11189.99,11695.51
38,9880.80,10429.20,10801.33,11166.63,11681.10
39,9855.76,10400.37,10773.39,11142.17,11665.77
40,9828.86,10370.18,10744.25,11116.61,11649.45
41,9800.06,10338.64,10713.92,11089.94,11632.13
42,9769.34,10305.72,10682.38,11062.12,11613.72
43,9736.63,10271.35,10649.57,11033.10,11594.13
44,9701.86,10235.45,10615.39,11002.79,11573.22
45,9664.97,10197.96,10579.81,10971.12,11550.91
46,9625.94,10158.85,10542.77,10938.03,11527.07
47,9584.73,10118.07,10504.22,10903.46,11501.57
48,9541.33,10075.58,10464.11,10867.34,11474.30
49,9495.73,10031.38,10422.44,10829.63,11445.16
50,9448.04,9985.56,10379.28,10790.40,11414.14
51,9398.39,9938.27,10334.78,10749.78,11381.27
52,9346.92,9889.65,10289.07,10707.87,11346.58
53,9293.74,9839.83,10242.29,10664.78,11310.10
54,9239.03,9789.01,10194.64,10620.70,11271.97
55,9183.03,9737.44,10146.34,10575.85,11232.37
56,9125.95,9685.34,10097.66,10530.48,11191.51
57,9067.97,9632.93,10048.77,10484.78,11149.58
58,9009.25,9580.37,9999.89,10438.93,11106.75
59,8949.91,9527.82,9951.14,10393.08,11063.16
60,8890.01,9475.39,9902.66,10347.35,11018.96
61,8829.63,9423.17,9854.55,10301.87,10974.29
62,8768.80,9371.25,9806.90,10256.72,10929.25
63,8707.55,9319.71,9759.81,10212.00,10883.97
64,8645.86,9268.57,9713.29,10167.73,10838.50
65,8583.66,9217.83,9667.37,10123.94,10792.90
66,8520.91,9167.51,9622.06,10080.63,10747.22
67,8457.52,9117.61,9577.36,10037.83,10701.49
68,8393.39,9068.11,9533.28,9995.53,10655.77
69,8328.47,9019.04,9489.84,9953.76,10610.12
70,8262.70,8970.42,9447.06,9912.56,10564.67
71,8196.03,8922.28,9404.98,9871.97,10519.52
72,8128.39,8874.63,9363.62,9832.02,10474.77
73,8059.69,8827.50,9322.99,9792.75,10430.49
74,7989.82,8780.90,9283.11,9754.16,10386.77
75,7918.66,8734.83,9243.99,9716.29,10343.68
76,7846.05,8689.30,9205.63,9679.14,10301.25
77,7771.85,8644.32,9168.03,9642.71,10259.53
78,7695.96,8599.90,9131.19,9607.01,10218.56
79,7618.38,8556.10,9095.13,9572.06,10178.39
80,7539.33,8512.98,9059.88,9537.87,10139.03
81,7459.27,8470.68,9025.50,9504.47,10100.53
82,7378.93,8429.35,8992.03,9471.89,10062.88
83,7299.27,8389.17,8959.52,9440.12,10026.09
84,7221.40,8350.31,8928.05,9409.20,9990.15
85,7146.49,8312.96,8897.64,9379.13,9955.06
86,7075.59,8277.25,8868.33,9349.91,9920.80
87,7009.58,8243.29,8840.14,9321.53,9887.36
88,6949.09,8211.14,8813.06,9293.97,9854.72
89,6894.41,8180.80,8787.05,9267.19,9822.82
90,6845.65,8152.26,8762.07,9241.15,9791.61
91,6802.68,8125.46,8738.06,9215.80,9761.05
92,6765.27,8100.38,8715.03,9191.15,9731.18
93,6732.92,8076.77,8692.73,9166.95,9701.68
