edad,C5,C25,C50,C75,C95
18,1497847.92,1552309.93,1590165.91,1628021.88,1682483.90
19,1485088.00,1539857.91,1577927.89,1615997.88,1670767.78
20,1473208.16,1528265.57,1566535.41,1604805.24,1659862.66
21,1462154.48,1517481.27,1555938.34,1594395.42,1649722.21
22,1451920.69,1507500.63,1546133.66,1584766.69,1640346.62
23,1442497.56,1498316.03,1537114.86,1575913.69,1631732.16
24,1433861.95,1489905.74,1528861.19,1567816.64,1623860.42
25,1425986.34,1482243.45,1521347.18,1560450.90,1616708.01
26,1418838.46,1475297.96,1514542.37,1553786.78,1610246.28
27,1412381.10,1469032.99,1508411.12,1547789.25,1604441.15
28,1406547.06,1463382.17,1502887.65,1542393.14,1599228.24
29,1401254.87,1458264.75,1497891.72,1537518.69,1594528.57
30,1396416.93,1453593.79,1493336.83,1533079.87,1590256.74
31,1391948.10,1449284.76,1489138.86,1528992.97,1586329.62
32,1387778.00,1445267.77,1485228.30,1525188.83,1582678.59
33,1383852.03,1441488.69,1481551.33,1521613.97,1579250.63
34,1380119.22,1437897.00,1478057.72,1518218.45,1575996.23
35,1376531.26,1434444.76,1474699.82,1514954.88,1572868.38
36,1373046.05,1431090.22,1471436.11,1511782.01,1569826.18
37,1369626.46,1427796.57,1468230.00,1508663.43,1566833.54
38,1366237.54,1424529.16,1465047.04,1505564.93,1563856.54
39,1362850.44,1421259.38,1461858.82,1502458.27,1560867.21
40,1359442.99,1417965.34,1458643.60,1499321.87,1557844.21
41,1355999.22,1414631.26,1455385.77,1496140.29,1554772.32
42,1352506.41,1411244.64,1452072.97,1492901.31,1551639.54
43,1348957.50,1407798.62,1448698.47,1489598.31,1548439.44
44,1345348.31,1404289.19,1445258.38,1486227.56,1545168.44
45,1341680.32,1400717.98,1441754.44,1482790.90,1541828.56
46,1337954.95,1397086.57,1438188.35,1479290.12,1538421.74
47,1334174.54,1393397.45,1434562.67,1475727.89,1534950.79
48,1330345.19,1389656.82,1430883.72,1472110.62,1531422.26
49,1326473.96,1385871.90,1427158.79,1468445.68,1527843.62
50,1322567.23,1382049.17,1423394.44,1464739.70,1524221.64
51,1318630.84,1378194.55,1419596.66,1460998.78,1520562.49
52,1314672.09,1374315.47,1415772.96,1457230.45,1516873.83
53,1310700.06,1370421.10,1411932.56,1453444.03,1513165.06
54,1306722.67,1366519.42,1408083.52,1449647.62,1509444.37
55,1302747.09,1362617.71,1404233.16,1445848.61,1505719.23
56,1298779.39,1358722.12,1400387.69,1442053.25,1501995.98
57,1294825.84,1354838.97,1396553.47,1438267.97,1498281.10
58,1290892.68,1350974.58,1392736.88,1434499.17,1494581.07
59,1286985.51,1347134.61,1388943.62,1430752.63,1490901.73
60,1283109.15,1343323.95,1385178.62,1427033.29,1487248.09
61,1279267.73,1339546.77,1381446.10,1423345.43,1483624.47
62,1275464.77,1335806.66,1377749.68,1419692.70,1480034.59
63,1271703.02,1332106.43,1374092.20,1416077.97,1476481.37
64,1267984.65,1328448.27,1370475.89,1412503.52,1472967.14
65,1264311.44,1324834.03,1366902.64,1408971.25,1469493.84
66,1260684.88,1321265.23,1363373.99,1405482.76,1466063.10
67,1257106.17,1317743.12,1359891.23,1402039.33,1462676.28
68,1253576.28,1314268.70,1356455.37,1398642.04,1459334.47
69,1250095.94,1310842.76,1353067.24,1395291.72,1456038.54
70,1246665.73,1307465.90,1349727.46,1391989.02,1452789.18
71,1243286.05,1304138.55,1346436.48,1388734.42,1449586.92
72,1239957.15,1300861.00,1343194.63,1385528.25,1446432.11
73,1236679.15,1297633.40,1340002.06,1382370.72,1443324.97
74,1233452.05,1294455.78,1336858.84,1379261.89,1440265.63
75,1230275.76,1291328.09,1333764.92,1376201.74,1437254.07
76,1227150.10,1288250.15,1330720.15,1373190.15,1434290.20
77,1224074.70,1285221.63,1327724.23,1370226.82,1431373.76
78,1221048.98,1282242.00,1324776.62,1367311.24,1428504.25
79,1218072.34,1279310.64,1321876.74,1364442.84,1425681.14
80,1215144.12,1276426.94,1319023.98,1361621.03,1422903.85
81,1212263.64,1273590.24,1316217.72,1358845.20,1420171.80
82,1209430.24,1270799.89,1313457.30,1356114.70,1417484.36
83,1206643.20,1268055.21,1310742.05,1353428.89,1414840.90
84,1203901.82,1265355.50,1308071.31,1350787.12,1412240.80
85,1201205.39,1262700.07,1305444.39,1348188.70,1409683.38
86,1198552.99,1260088.04,1302860.40,1345632.77,1407167.82
87,1195943.46,1257518.24,1300318.22,1343118.21,1404692.99
88,1193375.65,1254989.55,1297816.73,1340643.91,1402257.81
89,1190848.46,1252500.89,1295354.84,1338208.80,1399861.23
90,1188360.82,1250051.19,1292931.52,1335811.86,1397502.23
91,1185911.70,1247639.46,1290545.77,1333452.09,1395179.84
92,1183505.92,1245270.42,1288202.28,1331134.13,1392898.63
93,1181125.12,1242925.99,1285883.14,1328840.28,1390641.16
