edad,C5,C25,C50,C75,C95
18,841630.24,884846.97,914886.46,944925.95,988142.67
19,830022.24,873034.29,902931.52,932828.75,975840.81
20,819290.14,862113.59,891879.72,921645.85,964469.29
21,809451.36,852100.27,881745.08,911389.89,954038.80
22,800537.47,843024.25,872556.36,902088.47,944575.25
23,792511.22,834846.87,864273.93,893700.99,936036.63
24,785308.88,827503.19,856832.01,886160.84,928355.15
25,778888.96,820950.72,850187.41,879424.10,921485.87
26,773243.91,815181.04,844331.10,873481.15,915418.28
27,768362.43,810182.07,839250.46,868318.85,910138.49
28,764172.96,805881.60,834872.84,863864.07,905572.71
29,760588.22,802191.77,831109.97,860028.17,901631.72
30,757502.70,799006.58,827855.49,856704.41,898208.29
31,754824.12,796233.29,825016.37,853799.44,895208.61
32,752478.74,793797.75,822518.17,851238.58,892557.60
33,750406.95,791640.03,820300.70,848961.38,890194.46
34,748553.15,789704.17,818307.81,846911.46,888062.48
35,746867.85,787940.43,816489.55,845038.66,886111.24
36,745307.98,786305.46,814802.38,843299.29,884296.77
37,743830.82,784756.32,813203.20,841650.09,882575.59
38,742395.83,783252.26,811651.14,840050.02,880906.45
39,740971.99,781762.07,810114.83,838467.59,879257.67
40,739530.74,780257.02,808565.43,836873.84,877600.11
41,738048.60,778713.46,806979.18,835244.90,875909.76
42,736507.10,777112.78,805337.37,833561.96,874167.64
43,734896.73,775445.35,803630.28,831815.20,872363.82
44,733211.04,773704.59,801851.23,829997.87,870491.42
45,731446.95,771887.30,799996.96,828106.62,868546.97
46,729602.96,769991.88,798065.79,826139.70,866528.62
47,727683.19,768022.35,796061.68,824101.01,864440.18
48,725693.99,765984.99,793990.84,821996.69,862287.68
49,723641.26,763885.60,791859.01,819832.43,860076.76
50,721530.53,761729.63,789671.61,817613.58,857812.68
51,719368.82,759524.04,787435.52,815346.99,855502.22
52,717164.79,757277.43,785159.30,813041.17,853153.81
53,714926.36,754997.64,782850.76,810703.89,850775.16
54,712660.16,752691.25,780516.44,808341.63,848372.72
55,710372.61,750364.62,778162.65,805960.68,845952.70
56,708070.27,748024.28,775795.89,803567.51,843521.51
57,705760.05,745677.07,773422.97,801168.87,841085.89
58,703448.58,743329.58,771050.45,798771.31,838652.32
59,701141.30,740987.21,768683.69,796380.17,836226.09
60,698843.00,738654.73,766327.44,794000.15,833811.88
61,696557.87,736336.26,763985.80,791635.34,831413.72
62,694289.58,734035.45,761662.38,789289.32,829035.19
63,692041.34,731755.47,759360.35,786965.23,826679.36
64,689815.91,729499.07,757082.41,784665.76,824348.91
65,687615.66,727268.56,754830.88,782393.20,822046.10
66,685442.60,725065.95,752607.72,780149.49,819772.84
67,683298.43,722892.89,750414.59,777936.28,817530.75
68,681184.51,720750.74,748252.81,775754.88,815321.11
69,679101.74,718640.35,746123.22,773606.10,813144.71
70,677050.71,716562.31,744026.40,771490.50,811002.09
71,675031.91,714517.07,741962.78,769408.50,808893.66
72,673045.68,712504.95,739932.68,767360.41,806819.68
73,671092.24,710526.17,737936.28,765346.40,804780.33
74,669171.73,708580.84,735973.70,763366.56,802775.67
75,667284.20,706668.99,734044.94,761420.90,800805.69
76,665429.54,704790.50,732149.89,759509.27,798870.23
77,663607.40,702944.99,730288.14,757631.28,796968.87
78,661817.32,701132.00,728459.22,755786.44,795101.12
79,660058.83,699351.04,726662.64,753974.24,793266.45
80,658331.47,697601.64,724897.91,752194.19,791464.35
81,656634.75,695883.28,723164.52,750445.76,789694.29
82,654968.17,694195.46,721461.95,748728.43,787955.72
83,653331.23,692537.68,719789.67,747041.66,786248.11
84,651723.42,690909.40,718147.16,745384.92,784570.90
85,650144.20,689310.08,716533.87,743757.66,782923.53
86,648592.81,687738.93,714948.99,742159.05,781305.18
87,647068.37,686195.08,713391.65,740588.22,779714.94
88,645570.05,684677.69,711861.00,739044.31,778151.96
89,644097.05,683185.95,710356.23,737526.51,776615.40
90,642648.63,681719.09,708876.55,736034.02,775104.48
91,641224.04,680276.37,707421.24,734566.10,773618.43
92,639826.14,678860.69,705993.20,733125.70,772160.25
93,638443.62,677460.58,704580.86,731701.14,770718.11
