edad,C5,C25,C50,C75,C95
18,641103.91,675119.94,698764.12,722408.31,756424.33
19,630462.81,664805.15,688676.16,712547.16,746889.50
20,620774.23,655406.42,679478.89,703551.36,738183.54
21,612020.99,646905.30,671153.01,695400.73,730285.04
22,604230.26,639325.19,663719.31,688113.43,723208.37
23,597329.33,632587.37,657094.86,681602.36,716860.40
24,591208.68,626576.49,651160.28,675744.07,711111.88
25,585818.82,621240.33,645861.45,670482.56,705904.07
26,581183.68,616604.99,641225.98,665846.97,701268.29
27,577278.99,612652.31,637239.93,661827.55,697200.86
28,574023.52,609309.60,633836.58,658363.57,693649.65
29,571280.94,606451.22,630897.71,655344.21,690514.49
30,568930.67,603965.07,628317.12,652669.16,687703.56
31,566873.04,601757.77,626005.77,650253.78,685138.51
32,565033.41,599759.05,623896.49,648033.92,682759.57
33,563360.21,597920.16,621942.42,645964.68,680524.63
34,561808.10,596198.03,620102.10,644006.18,678396.11
35,560339.16,594556.36,618340.39,642124.41,676341.62
36,558923.28,592966.40,616629.41,640292.43,674335.55
37,557536.37,591405.22,614947.10,638488.98,672357.83
38,556157.05,589852.54,613273.93,636695.31,670390.80
39,554770.52,588294.42,611596.52,634898.63,668422.52
40,553366.31,586721.15,609905.74,633090.34,666445.18
41,551937.34,585126.45,608195.86,631265.26,664454.37
42,550478.76,583506.08,606463.02,629419.96,662447.27
43,548989.73,581859.57,604707.04,627554.52,660424.36
44,547471.58,580188.57,602929.81,625671.04,658388.03
45,545930.02,578498.98,601137.32,623775.66,656344.62
46,544369.86,576795.70,599334.56,621873.42,654299.26
47,542795.39,575083.07,597525.89,619968.71,652256.39
48,541211.15,573365.56,595715.76,618065.95,650220.37
49,539622.74,571648.67,593909.55,616170.44,648196.37
50,538035.14,569937.21,592112.00,614286.79,646188.86
51,536452.52,568235.20,590327.01,612418.82,644201.50
52,534878.39,566545.99,588557.80,610569.62,642237.22
53,533315.72,564872.39,586807.09,608741.79,640298.46
54,531767.67,563217.35,585077.69,606938.03,638387.71
55,530237.30,561583.75,583372.35,605160.94,636507.40
56,528727.10,559973.90,581693.23,603412.56,634659.37
57,527238.94,558389.50,580041.94,601694.37,632844.93
58,525774.46,556832.02,578419.81,600007.59,631065.16
59,524334.83,555302.48,576827.76,598353.05,629320.69
60,522920.98,553801.64,575266.47,596731.30,627611.96
61,521533.81,552330.29,573736.60,595142.91,625939.39
62,520174.10,550889.04,572238.67,593588.30,624303.24
63,518842.37,549478.28,570772.98,592067.68,622703.60
64,517538.94,548098.22,569339.65,590581.08,621140.35
65,516263.96,546748.87,567938.61,589128.35,619613.26
66,515017.44,545430.15,566569.71,587709.26,618121.98
67,513799.26,544141.84,565232.65,586323.46,616666.04
68,512609.21,542883.63,563927.06,584970.49,615244.91
69,511446.99,541655.13,562652.50,583649.86,613858.00
70,510312.14,540455.82,561408.38,582360.93,612504.61
71,509204.14,539285.10,560194.07,581103.03,611183.99
72,508122.45,538142.38,559008.91,579875.45,609895.38
73,507066.50,537027.02,557852.25,578677.49,608638.01
74,506035.72,535938.38,556723.41,577508.43,607411.10
75,505029.52,534875.83,555621.69,576367.55,606213.87
76,504047.30,533838.72,554546.43,575254.13,605045.55
77,503088.48,532826.41,553496.93,574167.45,603905.38
78,502152.47,531838.25,552472.53,573106.81,602792.60
79,501238.67,530873.62,551472.56,572071.50,601706.44
80,500346.51,529931.87,550496.35,571060.83,600646.20
81,499475.38,529012.38,549543.24,570074.11,599611.11
82,498624.60,528114.41,548612.47,569110.53,598600.35
83,497793.47,527237.23,547703.27,568169.32,597613.08
84,496981.33,526380.13,546814.93,567249.73,596648.53
85,496187.54,525542.45,545946.73,566351.02,595705.93
86,495411.50,524723.54,545098.03,565472.52,594784.55
87,494652.64,523922.80,544268.18,564613.56,593883.72
88,493910.38,523139.63,543456.57,563773.51,593002.75
89,493184.21,522373.47,542662.61,562951.76,592141.02
90,492473.61,521623.78,541885.76,562147.74,591297.91
91,491778.08,520890.04,541125.46,561360.88,590472.84
92,491099.41,520174.13,540383.66,560593.19,589667.91
93,490430.42,519468.47,539652.51,559836.54,588874.59
