edad,C5,C25,C50,C75,C95
18,18641.98,24599.03,28974.55,33525.33,40355.82
19,19105.94,25210.61,29741.37,34490.43,41680.87
20,19540.58,25781.30,30459.18,35399.62,42944.11
21,19932.25,26292.52,31105.36,36225.72,44111.01
22,20273.66,26734.17,31667.29,36953.07,45160.65
23,20578.10,27123.54,32164.90,37604.09,46118.68
24,20860.29,27479.96,32620.76,38204.51,47015.34
25,21132.30,27819.28,33053.50,38775.73,47875.99
26,21398.22,28146.94,33469.43,39324.88,48708.75
27,21650.49,28453.10,33856.80,39837.94,49495.62
28,21883.13,28730.06,34206.43,40303.87,50222.21
29,22095.67,28977.48,34517.91,40722.00,50886.97
30,22288.45,29196.09,34792.19,41093.33,51490.55
31,22460.41,29384.92,35028.23,41416.58,52030.91
32,22609.74,29541.98,35223.87,41689.21,52504.48
33,22737.35,29668.90,35381.18,41913.69,52914.01
34,22845.24,29768.57,35503.80,42094.36,53264.66
35,22936.71,29845.65,35597.43,42238.01,53564.77
36,23017.30,29907.57,35671.07,42355.39,53827.79
37,23094.69,29964.49,35736.99,42461.15,54072.24
38,23176.45,30026.37,35807.20,42569.63,54316.44
39,23267.50,30099.65,35889.43,42690.17,54572.36
40,23370.76,30188.06,35988.21,42828.19,54847.01
41,23488.62,30294.67,36107.24,42988.17,55146.23
42,23622.43,30421.16,36248.54,43172.59,55473.34
43,23771.33,30566.39,36410.80,43379.96,55826.52
44,23933.99,30728.57,36591.91,43607.82,56202.72
45,24109.36,30906.35,36790.28,43854.33,56599.68
46,24297.75,31100.10,37006.42,44120.20,57018.44
47,24500.57,31311.68,37242.63,44408.27,57462.92
48,24719.20,31542.84,37501.04,44721.23,57936.84
49,24954.98,31795.30,37783.79,45061.71,58443.81
50,25210.50,32072.39,38094.86,45434.59,58990.48
51,25489.15,32378.37,38439.41,45846.16,59585.35
52,25794.09,32717.27,38822.27,46302.29,60236.38
53,26128.42,33092.94,39248.02,46808.57,60951.18
54,26494.75,33508.60,39720.51,47369.65,61736.14
55,26895.56,33967.29,40243.31,47989.87,62597.19
56,27333.16,34471.80,40819.72,48673.21,63539.82
57,27810.01,35025.10,41453.23,49423.86,64569.78
58,28328.34,35629.84,42146.91,50245.55,65692.22
59,28889.13,36287.09,42901.99,51139.72,66909.23
60,29492.86,36997.30,43718.90,52106.88,68221.71
61,30140.18,37761.08,44598.32,53147.82,69630.86
62,30831.86,38579.26,45541.13,54263.58,71138.22
63,31568.57,39452.49,46548.03,55454.98,72745.02
64,32349.32,40379.38,47617.27,56719.89,74448.56
65,33172.45,41357.65,48746.11,58054.96,76244.53
66,34036.36,42385.19,49931.92,59457.03,78128.83
67,34939.54,43459.93,51172.22,60923.07,80097.49
68,35880.45,44579.86,52464.53,62450.08,82146.59
69,36856.95,45742.17,53805.51,64034.03,84270.87
70,37865.95,46942.96,55190.50,65669.37,86463.08
71,38904.22,48178.18,56614.71,67350.38,88715.74
72,39968.50,49443.71,58073.29,69071.26,91021.26
73,41055.43,50735.36,59561.28,70826.11,93371.90
74,42161.60,52048.90,61073.71,72609.02,95759.89
75,43284.66,53381.44,62607.18,74415.95,98179.93
76,44423.47,54731.57,64160.07,76244.98,100629.52
77,45576.93,56097.94,65730.78,78094.25,103106.28
78,46743.90,57479.17,67317.74,79961.88,105607.76
79,47923.21,58873.86,68919.30,81845.96,108131.50
80,49113.68,60280.57,70533.83,83744.57,110674.98
81,50314.28,61698.05,72159.86,85655.99,113236.01
82,51524.48,63125.71,73796.72,87579.44,115813.59
83,52743.90,64563.10,75443.92,89514.36,118406.99
84,53972.16,66009.77,77100.94,91460.17,121015.50
85,55208.88,67465.27,78767.30,93416.29,123638.37
86,56453.64,68929.15,80442.47,95382.15,126274.91
87,57706.08,70400.98,82125.97,97357.18,128924.38
88,58965.95,71880.48,83817.51,99341.06,131586.41
89,60233.58,73368.07,85517.59,101334.40,134261.79
90,61509.42,74864.32,87226.87,103337.98,136951.59
91,62793.92,76369.79,88946.02,105352.61,139656.88
92,64088.79,77886.69,90677.69,107381.48,142381.86
93,65390.80,79410.77,92416.73,109418.36,145118.37
