edad,C5,C25,C50,C75,C95
18,628675.08,658182.12,678692.16,699202.20,728709.25
19,626622.25,656287.34,676907.23,697527.11,727192.20
20,624637.99,654451.73,675174.96,695898.18,725711.93
21,622677.32,652631.34,673452.06,694272.78,724226.80
22,620742.59,650829.31,671742.28,692655.24,722741.97
23,618867.87,649080.46,670080.91,691081.37,721293.96
24,617099.09,647431.34,668514.96,689598.58,719930.83
25,615459.93,645906.14,667068.99,688231.83,718678.05
26,613953.08,644508.07,665746.53,686984.98,717539.97
27,612572.20,643231.19,664541.93,685852.67,716511.65
28,611306.45,642065.02,663444.98,684824.94,715583.51
29,610138.56,640992.64,662438.99,683885.34,714739.42
30,609049.52,639995.34,661505.45,683015.56,713961.38
31,608019.76,639053.80,660625.24,682196.67,713230.71
32,607029.61,638148.60,659779.08,681409.56,712528.55
33,606062.99,637263.86,658951.26,680638.66,711839.54
34,605105.65,636385.55,658127.88,679870.22,711150.12
35,604146.13,635502.37,657297.77,679093.17,710449.41
36,603170.53,634600.60,656447.31,678294.02,709724.09
37,602164.13,633665.64,655562.02,677458.39,708959.91
38,601113.34,632684.07,654628.55,676573.03,708143.76
39,600009.68,631647.50,653638.63,675629.75,707267.57
40,598847.38,630550.31,652586.68,674623.05,706325.98
41,597622.27,629388.40,651468.71,673549.02,705315.16
42,596332.99,628160.55,650283.55,672406.54,704234.10
43,594981.81,626869.08,649033.59,671198.10,703085.37
44,593571.69,625517.06,647721.95,669926.84,701872.21
45,592105.41,624107.34,646351.54,668595.74,700597.66
46,590586.43,622643.45,644925.94,667208.43,699265.45
47,589018.53,621129.24,643449.05,665768.87,697879.57
48,587405.24,619568.30,641924.51,664280.72,696443.79
49,585749.96,617964.11,640355.82,662747.54,694961.69
50,584057.61,616321.63,638748.00,661174.38,693438.39
51,582334.10,614646.81,637107.03,659567.26,691879.97
52,580584.70,612944.99,635438.28,657931.58,690291.87
53,578814.01,611220.81,633746.43,656272.05,688678.85
54,577027.10,609479.38,632036.61,654593.85,687046.12
55,575229.33,607726.10,630314.26,652902.42,685399.19
56,573426.26,605966.57,628585.00,651203.43,683743.74
57,571622.59,604205.53,626853.59,649501.65,682084.59
58,569822.60,602447.29,625124.37,647801.45,680426.14
59,568029.82,600695.42,623400.93,646106.45,678772.04
60,566246.84,598952.53,621685.91,644419.29,677124.97
61,564475.77,597220.76,619981.46,642742.16,675487.15
62,562718.46,595502.00,618289.49,641076.98,673860.52
63,560976.53,593797.89,616611.66,639425.44,672246.79
64,559251.40,592109.86,614949.43,637789.00,670647.46
65,557544.01,590438.89,613303.78,636168.67,669063.56
66,555854.72,588785.37,611675.12,634564.87,667495.52
67,554183.79,587149.57,610063.73,632977.89,665943.67
68,552531.40,585531.68,608469.83,631407.98,664408.26
69,550897.69,583931.88,606893.60,629855.32,662889.51
70,549282.76,582350.27,605335.16,628320.04,661387.56
71,547686.70,580786.99,603794.64,626802.30,659902.59
72,546109.88,579242.38,602272.44,625302.50,658435.00
73,544552.68,577716.88,600768.96,623821.05,656985.24
74,543015.42,576210.80,599284.55,622358.31,655553.69
75,541498.36,574724.41,597819.50,620914.58,654140.64
76,540001.69,573257.95,596374.02,619490.09,652746.35
77,538525.57,571811.55,594948.29,618085.03,651371.01
78,537070.10,570385.35,593542.43,616699.52,650014.77
79,535635.27,568979.35,592156.47,615333.59,648677.67
80,534221.01,567593.49,590790.34,613987.20,647359.67
81,532827.23,566227.67,589443.97,612660.27,646060.72
82,531453.79,564881.80,588117.26,611352.72,644780.73
83,530100.57,563555.75,586810.09,610064.43,643519.61
84,528767.42,562249.37,585522.33,608795.28,642277.24
85,527454.16,560962.52,584253.82,607545.13,641053.49
86,526160.62,559695.01,583004.41,606313.81,639848.20
87,524886.45,558446.51,581773.76,605101.00,638661.06
88,523631.09,557216.48,580561.32,603906.17,637491.56
89,522394.02,556004.38,579366.60,602728.81,636339.18
90,521174.72,554809.73,578189.08,601568.42,635203.44
91,519972.70,553632.03,577028.29,600424.54,634083.88
92,518790.07,552473.37,575886.27,599299.18,632982.47
93,517618.62,551325.66,574755.07,598184.48,631891.52
